name,year,fob,value,volume,measure
Café,1994,73,91.37,799.1,qq
Café,1995,131.3,149.3,879.5,qq
Café,1996,116,109.46,1059.4,qq
Café,1997,115.7,141.03,820.4,qq
Café,1998,173.4,146.67,1182.1,qq
Café,1999,135.6,107.89,1256.5,qq
Café,2000,160.9,93.28,1724.5,qq
Café,2001,103.3,56.37,1832.4,qq
Café,2002,73.6,55.77,1318.9,qq
Café,2003,85.6,64.73,1321.6,qq
Café,2004,126.5,72.05,1756.4,qq
Café,2005,125.9,101.33,1242.83,qq
Café,2006,207.1314409,109.6244728,1889.463507,qq
Café,2007,188.121683,117.6525118,1598.960193,qq
Café,2008,278.2842024,132.4295153,2101.37598,qq
Café,2009,236.7569777,133.6447396,1771.539819,qq
Café,2010,341.6046203,152.102172,2245.889166,qq
Café,2011,429.2921438,223.3445481,1922.107109,qq
Café,2012,521.8170692,198.5802624,2627.738845,qq
Café,2013,349.4738729,163.131027,2142.289418,qq
Café,2014,395.4974203,159.4876651,2479.799426,qq
Café,2015,392.2690503,171.4979605,2287.310293,qq
Café,2016,402.258948,153.6782023,2617.540693,qq
Café,2017,510.0177718,155.9406004,3270.590023,qq
Café,2018,417.7207819,138.9449247,3006.376684,qq
Carne vacuna,1994,63.2,2.403232258,26309.3,kgs
Carne vacuna,1995,54.5,2.162521935,25186.5,kgs
Carne vacuna,1996,40.7,1.894006653,21491.3,kgs
Carne vacuna,1997,44.1,1.940885748,22725.6,kgs
Carne vacuna,1998,37.6,2.025831036,18567.5,kgs
Carne vacuna,1999,42.09999264,2.135021088,19718.8,kgs
Carne vacuna,2000,52.2,2.296967275,22743.4,kgs
Carne vacuna,2001,65.6,2.45,26759.4,kgs
Carne vacuna,2002,78,2.48,31489.90369,kgs
Carne vacuna,2003,83.9,2.41,34847.14208,kgs
Carne vacuna,2004,110.4,2.65,41719.7,kgs
Carne vacuna,2005,119.1,2.8,42484.9,kgs
Carne vacuna,2006,148.0974528,3.034745637,48800.6148,kgs
Carne vacuna,2007,179.527155,3.029804353,59253.71215,kgs
Carne vacuna,2008,210.7255583,3.330393565,63273.47029,kgs
Carne vacuna,2009,230.5899655,3.243012904,71103.62256,kgs
Carne vacuna,2010,307.6281321,3.656433543,84133.3853,kgs
Carne vacuna,2011,427.016646,4.085175855,104528.3388,kgs
Carne vacuna,2012,451.3533169,4.339740359,104004.6822,kgs
Carne vacuna,2013,383.8375707,4.328153132,88683.91645,kgs
Carne vacuna,2014,448.0353515,4.747919122,94364.57109,kgs
Carne vacuna,2015,454.325587,4.918214731,92376.11854,kgs
Carne vacuna,2016,420.4063755,4.366485478,96280.26422,kgs
Carne vacuna,2017,507.7947674,4.346017869,116841.3897,kgs
Carne vacuna,2018,481.0054643,4.295176383,111987.3601,kgs
Langosta,1994,20.7506,22.2687595,931.8,kgs
Langosta,1995,35.9968,24.98694751,1440.6,kgs
Langosta,1996,37.574,26.93051389,1395.2,kgs
Langosta,1997,39.716187,24.82145087,1600.1,kgs
Langosta,1998,29.39462,24.68042017,1191,kgs
Langosta,1999,39.4581081,26.92560602,1465.4,kgs
Langosta,2000,57.45233824,28.43541157,2020.5,kgs
Langosta,2001,38.124016,29.19817619,1305.7,kgs
Langosta,2002,43.8,29.23,1497.7,kgs
